,RunTime,Accuracy,Bal_Acc,Precision,Recall,F1,AUC,Year,Clf,Scaling,Sampling
2017_DT,0:00:10.399037,0.6625,0.6346,0.3528,0.5833,0.6862,0.683,2017,DT,non,non
2017_DT_norm,0:00:10.615288,0.5511,0.6318,0.3073,0.7795,0.5832,0.6424,2017,DT,norm,non
2017_DT_stand,0:00:10.516792,0.5511,0.6318,0.3073,0.7795,0.5832,0.6424,2017,DT,stand,non
2017_DT_SMOTE,0:00:12.341244,0.648,0.648,0.6601,0.6102,0.6475,0.6998,2017,DT,non,SMOTE
2017_DT_SMOTE_norm,0:00:12.440220,0.652,0.652,0.6138,0.82,0.6419,0.6631,2017,DT,norm,SMOTE
2017_DT_SMOTE_stand,0:00:12.733844,0.6459,0.6459,0.6226,0.7408,0.6427,0.6631,2017,DT,stand,SMOTE
2017_DT_RandomUnder,0:00:10.345437,0.6362,0.6362,0.6524,0.5833,0.6352,0.6837,2017,DT,non,RandomUnder
2017_DT_RandomUnder_norm,0:00:10.365535,0.6316,0.6316,0.6016,0.7795,0.6234,0.6421,2017,DT,norm,RandomUnder
2017_DT_RandomUnder_stand,0:00:10.359757,0.6362,0.6362,0.6164,0.7211,0.6336,0.6514,2017,DT,stand,RandomUnder
2017_RF,0:00:28.114737,0.7752,0.5255,0.538,0.0681,0.7008,0.7033,2017,RF,non,non
2017_RF_norm,0:00:25.141371,0.773,0.5,0.3333,0.0,0.6741,0.6541,2017,RF,norm,non
2017_RF_stand,0:00:23.850869,0.773,0.5001,0.3846,0.0002,0.6741,0.6668,2017,RF,stand,non
2017_RF_SMOTE,0:00:35.403112,0.5258,0.5258,0.8003,0.0688,0.4006,0.7025,2017,RF,non,SMOTE
2017_RF_SMOTE_norm,0:00:28.309102,0.5001,0.5001,0.8571,0.0002,0.3335,0.6366,2017,RF,norm,SMOTE
2017_RF_SMOTE_stand,0:00:29.215945,0.5002,0.5002,0.814,0.0005,0.3339,0.6396,2017,RF,stand,SMOTE
2017_RF_RandomUnder,0:00:22.927701,0.5256,0.5256,0.8012,0.0681,0.4,0.7034,2017,RF,non,RandomUnder
